Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-07-19,Seven Samurai,1954,https://boxd.it/6UxHBx,,,,2023-12-31
2024-07-22,Amarcord,1973,https://boxd.it/6VYhnd,2,,,2023-12-31
2024-07-22,The Lady Vanishes,1938,https://boxd.it/6VYhA7,4,,,2023-12-31
2024-07-22,The 400 Blows,1959,https://boxd.it/6VY9GV,3,,,2024-01-01
2024-07-22,Beauty and the Beast,1946,https://boxd.it/6VY9Xd,3,,,2024-01-08
2024-07-22,Bottoms,2023,https://boxd.it/6VYanF,2.5,,,2024-01-08
2024-07-22,Poor Things,2023,https://boxd.it/6VYaYr,4,,,2024-01-14
2024-07-22,Battlestar Galactica: Razor,2007,https://boxd.it/6VYbbl,2,Yes,,2024-01-15
2024-07-22,A Night to Remember,1958,https://boxd.it/6VYbAl,3,,,2024-01-22
2024-07-22,The Killer,1989,https://boxd.it/6VYbY3,4,,,2024-01-29
2024-07-22,The Zone of Interest,2023,https://boxd.it/6VYcfj,2,,,2024-02-03
2024-07-22,Groundhog Day,1993,https://boxd.it/6VYdup,5,Yes,,2024-02-07
2024-07-22,Hard Boiled,1992,https://boxd.it/6VYcBf,3.5,,,2024-02-10
2024-07-22,Walkabout,1971,https://boxd.it/6VYdOT,3,,,2024-02-10
2024-07-22,Heathers,1989,https://boxd.it/6VYe5P,4,Yes,,2024-02-17
2024-07-22,The Seventh Seal,1957,https://boxd.it/6VYekl,3.5,,,2024-02-19
2024-07-22,Dune,2021,https://boxd.it/6VYmQT,4,Yes,,2024-02-22
2024-07-22,Evil Dead Rise,2023,https://boxd.it/6VYnn9,2,,,2024-02-24
2024-07-22,Spaceman,2024,https://boxd.it/6VYnYT,3,,,2024-02-28
2024-07-22,This Is Spinal Tap,1984,https://boxd.it/6VYolX,4,Yes,,2024-03-01
2024-07-22,Dumb Money,2023,https://boxd.it/6VYoVr,3,,,2024-03-09
2024-07-22,Dune: Part Two,2024,https://boxd.it/6VYpbf,4,,,2024-03-10
2024-07-22,Past Lives,2023,https://boxd.it/6VYps1,5,,,2024-03-17
2024-07-22,The Silence of the Lambs,1991,https://boxd.it/6VYpP5,5,Yes,,2024-03-19
2024-07-22,Anatomy of a Fall,2023,https://boxd.it/6VYqep,4,,,2024-03-24
2024-07-22,Road House,2024,https://boxd.it/6VYqA1,2.5,,,2024-03-30
2024-07-22,Samurai I: Musashi Miyamoto,1954,https://boxd.it/6VYr83,4,,,2024-04-01
2024-07-22,Samurai II: Duel at Ichijoji Temple,1955,https://boxd.it/6VYsg3,4,,,2024-04-02
2024-07-22,Samurai III: Duel at Ganryu Island,1956,https://boxd.it/6VYtdp,4,,,2024-04-03
2024-07-22,Civil War,2024,https://boxd.it/6VYtuZ,2.5,,,2024-04-13
2024-07-22,Late Night with the Devil,2023,https://boxd.it/6VYuVn,4,,,2024-04-14
2024-07-22,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/6VYvf3,0.5,,,2024-04-21
2024-07-22,The Lighthouse,2019,https://boxd.it/6VYvvv,4.5,,,2024-04-27
2024-07-22,Unfrosted,2024,https://boxd.it/6VYwf9,3,,,2024-05-11
2024-07-22,Bullet Train,2022,https://boxd.it/6VYQjv,2.5,,,2024-05-18
2024-07-22,Pig,2021,https://boxd.it/6VYQWR,4,,,2024-05-19
2024-07-22,Mad Max: Fury Road,2015,https://boxd.it/6VYRcv,5,Yes,,2024-05-25
2024-07-22,Battlestar Galactica: The Plan,2009,https://boxd.it/6VZegZ,2,Yes,,2024-05-26
2024-07-22,Godzilla Minus One,2023,https://boxd.it/6VZeGX,4,,,2024-05-30
2024-07-22,Furiosa: A Mad Max Saga,2024,https://boxd.it/6VZfpj,3,,,2024-05-31
2024-07-23,Beetlejuice,1988,https://boxd.it/6W154f,4,Yes,,2024-06-01
2024-07-23,The Naked Kiss,1964,https://boxd.it/6W15uR,4,,,2024-06-02
2024-07-23,Hit Man,2023,https://boxd.it/6W15WL,3,,,2024-06-07
2024-07-23,Shock Corridor,1963,https://boxd.it/6W16Mx,4,,,2024-06-08
2024-07-24,All My Friends Hate Me,2021,https://boxd.it/6WweAL,3,,,2024-06-09
2024-06-15,Love Lies Bleeding,2024,https://boxd.it/6GcZZJ,5,,,2024-06-13
2024-06-15,Sid and Nancy,1986,https://boxd.it/6Gd0rj,4,,,2024-06-14
2024-06-16,Triangle of Sadness,2022,https://boxd.it/6GpqG9,4,,,2024-06-15
2024-06-27,Last Stop Larrimah: Murder Down Under,2023,https://boxd.it/6KWVyn,3,,,2024-06-21
2024-06-27,Bodies Bodies Bodies,2022,https://boxd.it/6KX497,3,,,2024-06-22
2024-06-27,Lady Bird,2017,https://boxd.it/6KX4up,4,,,2024-06-23
2024-07-24,Suzume,2022,https://boxd.it/6WwgI3,3,,,2024-06-28
2024-07-24,In the Mood for Love,2000,https://boxd.it/6WwuEJ,4.5,,,2024-06-29
2024-07-19,Nausicaä of the Valley of the Wind,1984,https://boxd.it/6UxK3D,3.5,,,2024-07-05
2024-07-24,Beverly Hills Cop: Axel F,2024,https://boxd.it/6Wwvav,3,,,2024-07-06
2024-07-19,Castle in the Sky,1986,https://boxd.it/6UxKaJ,3,,,2024-07-12
2024-07-24,Dead Ringers,1988,https://boxd.it/6WwvCz,4,,,2024-07-13
2024-07-19,Longlegs,2024,https://boxd.it/6UxIgZ,2.5,,,2024-07-14
2024-07-19,Summertime,1955,https://boxd.it/6UxuFh,3.5,,,2024-07-17
2024-07-20,Grave of the Fireflies,1988,https://boxd.it/6UHTYX,3,,,2024-07-19
2024-07-21,I Saw the TV Glow,2024,https://boxd.it/6V1Y5t,1,,,2024-07-20
2024-07-23,RoboCop,1987,https://boxd.it/6W13Mf,4,Yes,,2024-07-22
2024-07-24,All of Us Strangers,2023,https://boxd.it/6WB1Ft,4,,,2024-07-23
2024-07-27,Deadpool & Wolverine,2024,https://boxd.it/6XYIWH,3.5,,,2024-07-26
2024-07-28,My Neighbor Totoro,1988,https://boxd.it/6Ysmcn,4,Yes,,2024-07-27
2024-07-29,Wicked Little Letters,2023,https://boxd.it/6YTcEl,3,,,2024-07-28
2024-08-03,MaXXXine,2024,https://boxd.it/70ZZ3D,2,,,2024-08-02
2024-08-16,Kiki's Delivery Service,1989,https://boxd.it/76JTkF,5,,,2024-08-15
2024-08-17,Alien: Romulus,2024,https://boxd.it/778jAn,4.5,,,2024-08-16
2024-08-24,High and Low,1963,https://boxd.it/7ar761,4,,,2024-08-23
2024-08-31,Alphaville,1965,https://boxd.it/7dCF9H,1,,,2024-08-30
2024-09-09,To Catch a Thief,1955,https://boxd.it/7hU63r,4,,,2024-09-08
2024-09-14,Beetlejuice Beetlejuice,2024,https://boxd.it/7kdgT9,2.5,,,2024-09-13
2024-09-15,Kinds of Kindness,2024,https://boxd.it/7kuR3t,5,,,2024-09-14
2024-09-16,Only Yesterday,1991,https://boxd.it/7l1HC5,4.5,,,2024-09-15
2024-09-21,Meet Me in the Bathroom,2022,https://boxd.it/7n2625,3.5,,,2024-09-20
2024-09-23,Porco Rosso,1992,https://boxd.it/7nZaLh,3,,,2024-09-22
2024-09-24,The Long Good Friday,1980,https://boxd.it/7oyAZT,3.5,,,2024-09-23
2024-10-06,Ocean Waves,1993,https://boxd.it/7tGHiN,3,,,2024-10-05
2024-10-21,Sweet Bobby: My Catfish Nightmare,2024,https://boxd.it/7BqrUB,3,,,2024-10-20
2024-11-04,Kneecap,2024,https://boxd.it/7IWv3N,5,,,2024-11-03
2024-11-17,Flesh for Frankenstein,1973,https://boxd.it/7P2BUT,2,,,2024-11-16
2024-11-18,ZEF - The Story of Die Antwoord,2024,https://boxd.it/7PyLRp,4,,,2024-11-16
2024-11-24,The Substance,2024,https://boxd.it/7SHe11,5,,,2024-11-23
2024-12-02,Pineapple Express,2008,https://boxd.it/7X0ymd,3,Yes,,2024-12-01
2024-12-11,It's What's Inside,2024,https://boxd.it/81jrjF,3.5,,,2024-12-10
2024-12-16,As Good as It Gets,1997,https://boxd.it/83WBQF,3,Yes,,2024-12-15
2024-12-21,The Holdovers,2023,https://boxd.it/86DqLX,5,Yes,,2024-12-20
2024-12-24,Die Hard,1988,https://boxd.it/88yt2T,4,Yes,,2024-12-23
2024-12-24,James Acaster: Hecklers Welcome,2024,https://boxd.it/892BUf,5,,,2024-12-23
2024-12-27,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/8aKOq5,4,,,2024-12-26
2024-12-27,Some Like It Hot,1959,https://boxd.it/8b8K7L,3.5,,,2024-12-26
2024-12-29,Venom: The Last Dance,2024,https://boxd.it/8cwFXT,2,,,2024-12-28
2024-12-30,blur: To the End,2024,https://boxd.it/8en9fZ,4,,,2024-12-29
2025-01-01,blur: Live at Wembley Stadium,2024,https://boxd.it/8g4rCH,4,,,2024-12-31
2025-01-04,A Real Pain,2024,https://boxd.it/8iplbF,4,,,2025-01-03
2025-01-12,Cunk on Life,2024,https://boxd.it/8qwCMT,4,,,2025-01-10
2025-01-12,Blood for Dracula,1974,https://boxd.it/8qJWIN,2,,,2025-01-11
2025-01-18,Anora,2024,https://boxd.it/8vO8pB,4,,,2025-01-17
2025-01-19,In a Violent Nature,2024,https://boxd.it/8ww3Yf,3,,,2025-01-18
2025-01-25,Joker: Folie à Deux,2024,https://boxd.it/8B0O1F,2.5,,,2025-01-24
2025-02-01,Calamity Jane,1953,https://boxd.it/8GEkzd,3,,,2025-01-31
2025-02-09,Katherine Ryan: Glitter Room,2019,https://boxd.it/8LIhdB,3,,,2025-02-07
2025-02-11,Inside Out 2,2024,https://boxd.it/8NxjLL,3,,,2025-02-10
2025-02-13,Romesh Ranganathan: The Cynic,2022,https://boxd.it/8Or78J,4,,,2025-02-11
2025-02-13,Bo Burnham: Inside,2021,https://boxd.it/8OGU1x,4,,,2025-02-12
2025-02-15,Picnic at Hanging Rock,1975,https://boxd.it/8PQoil,3,,,2025-02-14
2025-02-20,Companion,2025,https://boxd.it/8Tlnb3,3,,,2025-02-19
2025-02-23,The Brutalist,2024,https://boxd.it/8UZNbd,3.5,,,2025-02-22
2025-02-23,Jerry Before Seinfeld,2017,https://boxd.it/8VAOn9,4,,,2025-02-22
2025-02-24,Nickel Boys,2024,https://boxd.it/8VKLwn,3,,,2025-02-23
2025-02-24,Conclave,2024,https://boxd.it/8VR6v3,4,,,2025-02-23
2025-02-25,Nosferatu,2024,https://boxd.it/8WGwML,3,,,2025-02-24
2025-03-09,A Complete Unknown,2024,https://boxd.it/93WkyH,2.5,,,2025-03-08
2025-03-10,Challengers,2024,https://boxd.it/94Wvch,4,,,2025-03-09
2025-03-11,I'm Not a Robot,2023,https://boxd.it/95B8Yf,3,,,2025-03-10
2025-03-22,Asteroid City,2023,https://boxd.it/9bV6c3,4,,,2025-03-21
2025-03-29,M,1931,https://boxd.it/9fMsWv,4,,,2025-03-28
2025-03-31,I Saw the Devil,2010,https://boxd.it/9hffch,4,,,2025-03-30
2025-04-05,Hudson Hawk,1991,https://boxd.it/9jKxcT,3,,,2025-04-04
2025-04-07,I'm Still Here,2024,https://boxd.it/9kYtvT,3.5,,,2025-04-06
2025-04-19,Mickey 17,2025,https://boxd.it/9rHTkV,3,,,2025-04-18
2025-04-27,Pom Poko,1994,https://boxd.it/9wS1tV,3,,,2025-04-26
2025-04-28,Black Bag,2025,https://boxd.it/9xpzaf,4,,,2025-04-27
2025-05-04,The Menu,2022,https://boxd.it/9AN7S9,3,,,2025-05-03
2025-05-05,Rebel Moon – Part One: A Child of Fire,2023,https://boxd.it/9C3i0j,2.5,,,2025-05-04
2025-05-06,Jaws,1975,https://boxd.it/9CDalZ,3.5,,,2025-05-05
2025-05-07,Rebel Moon – Part Two: The Scargiver,2024,https://boxd.it/9D8jyl,2,,,2025-05-07
2025-05-08,Rope,1948,https://boxd.it/9D9TXN,4,,,2025-05-07
2025-05-09,Rear Window,1954,https://boxd.it/9DMdEd,3.5,,,2025-05-08
2025-05-14,The Man Who Knew Too Much,1956,https://boxd.it/9GK4Uf,3,,,2025-05-13
2025-05-23,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/9LNDNT,3.5,Yes,,2025-05-22
2025-05-26,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9NSQcz,3,,,2025-05-25
2025-05-27,Conan O'Brien: The Kennedy Center Mark Twain Prize for American Humor,2025,https://boxd.it/9OAD6B,4,,,2025-05-26
2025-05-30,Vertigo,1958,https://boxd.it/9Qh4Qp,4,,,2025-05-29
2025-06-09,Sinners,2025,https://boxd.it/9WBrOF,4,,,2025-06-08
2025-06-13,Heretic,2024,https://boxd.it/9YWX9z,3.5,,,2025-06-12
2025-06-16,Predator: Killer of Killers,2025,https://boxd.it/a1r7Z9,4,,,2025-06-16
2025-06-18,The Monkey,2025,https://boxd.it/a2jE4t,2,,,2025-06-17
2025-06-19,North by Northwest,1959,https://boxd.it/a2U3QJ,4.5,,,2025-06-18
2025-06-21,Godzilla,2014,https://boxd.it/a46Nir,4,Yes,,2025-06-20
2025-06-24,Kong: Skull Island,2017,https://boxd.it/a6fAv9,4,,,2025-06-23
2025-06-27,Godzilla: King of the Monsters,2019,https://boxd.it/a8aUAL,3,,,2025-06-26
2025-06-28,Godzilla vs. Kong,2021,https://boxd.it/a8NSOp,3,,,2025-06-27
2025-07-03,Godzilla × Kong: The New Empire,2024,https://boxd.it/ac3Zn5,2,,,2025-07-02
2025-07-08,Whisper of the Heart,1995,https://boxd.it/afDykn,2.5,,,2025-07-07
2025-07-14,A Simple Favor,2018,https://boxd.it/ajP6WX,3,,,2025-07-12
2025-07-14,KPop Demon Hunters,2025,https://boxd.it/ak6do3,4,,,2025-07-13
2025-07-15,28 Days Later,2002,https://boxd.it/akYFBn,3,Yes,,2025-07-14
2025-07-18,M3GAN 2.0,2025,https://boxd.it/anardD,1,,,2025-07-16
2025-07-18,Superman,2025,https://boxd.it/anaq6h,3,,,2025-07-17
2025-07-21,Jurassic World Rebirth,2025,https://boxd.it/apaZHv,3.5,,,2025-07-19
2025-07-27,28 Weeks Later,2007,https://boxd.it/aueRpr,2.5,,,2025-07-26
2025-07-30,The Fantastic 4: First Steps,2025,https://boxd.it/awSHD7,2.5,,,2025-07-29
2025-08-10,Black Forest,2010,https://boxd.it/aFyRSH,2.5,,,2025-08-09
2025-08-11,28 Years Later,2025,https://boxd.it/aGjQ4b,4,,,2025-08-10
2025-08-18,Terrifier,2016,https://boxd.it/aLzSFl,3.5,,,2025-08-17
2025-08-24,Terrifier 2,2022,https://boxd.it/aQ7Nyj,4,,,2025-08-24
2025-08-30,Terrifier 3,2024,https://boxd.it/aUr2SR,4,,,2025-08-29
2025-09-03,The Handmaiden,2016,https://boxd.it/aX5Y9j,4,,,2025-09-02
2025-09-14,Weapons,2025,https://boxd.it/b3OIyL,5,,,2025-09-13
2025-09-28,One Battle After Another,2025,https://boxd.it/bcxz5R,5,,,2025-09-27
2025-10-06,Together,2025,https://boxd.it/bh4EQZ,4,,,2025-10-05
2025-10-11,Princess Mononoke,1997,https://boxd.it/bk4XYF,3,,,2025-10-10
2025-10-12,Highlander,1986,https://boxd.it/bkZkYv,3.5,,,2025-10-11
2025-10-13,Friendship,2024,https://boxd.it/blzn7h,5,,,2025-10-12
2025-10-14,TRON: Legacy,2010,https://boxd.it/bmtZg9,4,Yes,,2025-10-13
2025-10-17,TRON: Ares,2025,https://boxd.it/bo0owJ,3.5,,,2025-10-15
2025-10-18,Caught Stealing,2025,https://boxd.it/boP01J,4,,,2025-10-17
2025-10-26,Possession,1981,https://boxd.it/bubKVR,3,,,2025-10-25
2025-10-27,A House of Dynamite,2025,https://boxd.it/bvik4v,2,,,2025-10-26
2025-11-05,Bugonia,2025,https://boxd.it/bBGEI3,4,,,2025-11-04
2025-11-12,A Quiet Place: Day One,2024,https://boxd.it/bGoatr,3,,,2025-11-11
2025-11-16,Frankenstein,2025,https://boxd.it/bIS17p,3,,,2025-11-15
2025-11-23,F1,2025,https://boxd.it/bNX8xz,3,,,2025-11-22
2025-11-26,The Running Man,2025,https://boxd.it/bQhYPN,3,,,2025-11-25
2025-11-30,HIM,2025,https://boxd.it/bSHZD9,3.5,,,2025-11-29
2025-12-05,The Smashing Machine,2025,https://boxd.it/bW0iED,4,,,2025-12-04
2025-12-06,Kill Bill: The Whole Bloody Affair,2004,https://boxd.it/bWIOwp,5,,,2025-12-05
2025-12-27,Edward Scissorhands,1990,https://boxd.it/cfbO4v,4,Yes,,2025-12-06
2025-12-15,Elf,2003,https://boxd.it/c3EHjt,5,Yes,,2025-12-13
2025-12-24,It's a Wonderful Life,1946,https://boxd.it/ccKlct,4,,,2025-12-21
2025-12-27,Wake Up Dead Man,2025,https://boxd.it/cfbJ2p,4,,,2025-12-26
2025-12-28,BlackBerry,2023,https://boxd.it/cgztgR,4,,,2025-12-27
2025-12-29,Strangers on a Train,1951,https://boxd.it/ciHuKx,3,,,2025-12-28
2025-12-30,Avatar: Fire and Ash,2025,https://boxd.it/cjh9EZ,3,,,2025-12-29
2025-12-31,Train Dreams,2025,https://boxd.it/ckGBPl,4,,,2025-12-30
2026-01-02,Dial M for Murder,1954,https://boxd.it/cmzW3r,5,,,2026-01-01
2026-01-02,The Ballad of Wallis Island,2025,https://boxd.it/cmTLil,4,,,2026-01-01
2026-01-03,Freaky Tales,2024,https://boxd.it/coHLAX,3,,,2026-01-02
2026-01-05,Warfare,2025,https://boxd.it/crFJmH,5,,,2026-01-04
2026-01-05,The Phoenician Scheme,2025,https://boxd.it/crH0JF,4,,,2026-01-04
2026-01-11,Roofman,2025,https://boxd.it/czpe3p,3.5,,,2026-01-10
2026-01-11,Ricky Gervais: Mortality,2025,https://boxd.it/czpI9H,3,,,2026-01-10
2026-01-12,Perfect Days,2023,https://boxd.it/cAi93J,5,,,2026-01-11
2026-01-14,Marty Supreme,2025,https://boxd.it/cCRCXf,3.5,,,2026-01-13
2026-01-18,The Chaser,2008,https://boxd.it/cGjW5v,4,,,2026-01-17
2026-01-18,Predator: Badlands,2025,https://boxd.it/cGvN7r,4,,,2026-01-17
2026-01-19,The Rip,2026,https://boxd.it/cIHMsF,4.5,,,2026-01-18
2026-01-25,Jay Kelly,2025,https://boxd.it/cNI2Lj,4.5,,,2026-01-24
2026-01-28,Sentimental Value,2025,https://boxd.it/cRtJrH,4.5,,,2026-01-25
2026-01-28,Hamnet,2025,https://boxd.it/cRJXSJ,3.5,,,2026-01-27
2026-02-02,If I Had Legs I'd Kick You,2025,https://boxd.it/cWrs6t,3.5,,,2026-02-01
2026-02-04,The Secret Agent,2025,https://boxd.it/cYDIfN,4,,,2026-02-03
2026-02-08,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/d1IyEP,5,,,2026-02-07
2026-02-08,Casablanca,1942,https://boxd.it/d1UtQ1,4,Yes,,2026-02-07
2026-02-09,We Bury the Dead,2024,https://boxd.it/d2ZkzJ,3,,,2026-02-08
2026-02-11,28 Years Later: The Bone Temple,2026,https://boxd.it/d4YnvB,4,,,2026-02-10
2026-02-16,My Neighbors the Yamadas,1999,https://boxd.it/d8YwCx,4.5,,,2026-02-15
2026-02-21,The Toxic Avenger,1984,https://boxd.it/ddVXZR,4,,,2026-02-20
2026-02-23,Spirited Away,2001,https://boxd.it/dfWXjB,4.5,Yes,,2026-02-22
2026-02-25,Wuthering Heights,2026,https://boxd.it/dibMeN,2.5,,,2026-02-24
2026-02-26,Kneecap,2024,https://boxd.it/diXy1V,5,Yes,,2026-02-25
2026-03-01,The Toxic Avenger Part II,1989,https://boxd.it/dl5Wxv,2,,,2026-02-28
2026-03-01,"Sorry, Baby",2025,https://boxd.it/dl9CjB,4,,,2026-02-28
2026-03-10,The Fall Guy,2024,https://boxd.it/dswkw7,4,,,2026-03-08
2026-03-11,The Toxic Avenger Part III: The Last Temptation of Toxie,1989,https://boxd.it/dtnaNj,3,,,2026-03-10
2026-03-14,Ballerina,2025,https://boxd.it/dvm2sj,4,,,2026-03-13
