Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-25,1001 Movies You Must See Before You Die,"1001, movies, you, must, see, before, die, complete, greatest, best, films, checklist, allstats",https://boxd.it/xkIh4,

Position,Name,Year,URL,Description
1,A Trip to the Moon,1902,https://boxd.it/29EC,
2,The Great Train Robbery,1903,https://boxd.it/22JU,
3,The Birth of a Nation,1915,https://boxd.it/29Zg,
4,"The Vampires or, The Arch Criminals of Paris",1915,https://boxd.it/1ofA,
5,Intolerance: Love's Struggle Throughout the Ages,1916,https://boxd.it/25Qk,
6,Broken Blossoms,1919,https://boxd.it/29kC,
7,Within Our Gates,1920,https://boxd.it/2GIC,
8,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
9,Way Down East,1920,https://boxd.it/1iWo,
10,The Phantom Carriage,1921,https://boxd.it/l4s,
11,Orphans of the Storm,1921,https://boxd.it/WIE,
12,Foolish Wives,1922,https://boxd.it/1czy,
13,Nosferatu,1922,https://boxd.it/29TM,
14,"Dr. Mabuse, the Gambler",1922,https://boxd.it/22dE,
15,Nanook of the North,1922,https://boxd.it/29Rc,
16,Häxan,1922,https://boxd.it/n4O,
17,La Roue,1923,https://boxd.it/EeG,
18,Our Hospitality,1923,https://boxd.it/29Mm,
19,The Smiling Madame Beudet,1923,https://boxd.it/G28,
20,The Thief of Bagdad,1924,https://boxd.it/1ot8,
21,Sherlock Jr.,1924,https://boxd.it/298m,
22,The Great White Silence,1924,https://boxd.it/2ZC4,
23,Greed,1924,https://boxd.it/28Pa,
24,The Last Laugh,1924,https://boxd.it/22es,
25,Seven Chances,1925,https://boxd.it/1gRG,
26,The Phantom of the Opera,1925,https://boxd.it/29bU,
27,Strike,1925,https://boxd.it/QFk,
28,The Gold Rush,1925,https://boxd.it/29ce,
29,The Big Parade,1925,https://boxd.it/25Qa,
30,The Eagle,1925,https://boxd.it/3omU,
31,Battleship Potemkin,1925,https://boxd.it/29Vo,
32,The Adventures of Prince Achmed,1926,https://boxd.it/1FeY,
33,The General,1926,https://boxd.it/29co,
34,Metropolis,1927,https://boxd.it/71a,
35,The Kid Brother,1927,https://boxd.it/1JPk,
36,Napoleon,1927,https://boxd.it/WEC,
37,The Unknown,1927,https://boxd.it/1rEy,
38,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,
39,The Jazz Singer,1927,https://boxd.it/29ek,
40,October (Ten Days that Shook the World),1928,https://boxd.it/29N0,
41,The Crowd,1928,https://boxd.it/25Q0,
42,"Steamboat Bill, Jr.",1928,https://boxd.it/1v9u,
43,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
44,The Docks of New York,1928,https://boxd.it/29mS,
45,Storm Over Asia,1928,https://boxd.it/2XTM,
