Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-24,B-Movie Gore,,https://boxd.it/Tq4he,

Position,Name,Year,URL,Description
1,Class of Nuke 'Em High,1986,https://boxd.it/1tEU,
2,Poultrygeist: Night of the Chicken Dead,2006,https://boxd.it/1ISi,
3,Tromeo & Juliet,1996,https://boxd.it/1Kx2,
4,Terror Firmer,1999,https://boxd.it/1OW6,
5,Sgt. Kabukiman N.Y.P.D.,1990,https://boxd.it/1quM,
6,Braindead,1992,https://boxd.it/29Gy,
7,Street Trash,1987,https://boxd.it/1AWw,
8,Re-Animator,1985,https://boxd.it/28hM,
9,Frankenhooker,1990,https://boxd.it/1saE,
10,Bad Taste,1987,https://boxd.it/1Xq4,
11,Night of the Creeps,1986,https://boxd.it/1LzI,
12,The Stuff,1985,https://boxd.it/1GQa,
13,C.H.U.D.,1984,https://boxd.it/1yRk,
14,TerrorVision,1986,https://boxd.it/1y72,
15,The Return of the Living Dead,1985,https://boxd.it/1V3W,
16,Tokyo Gore Police,2008,https://boxd.it/1KUq,
