Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-19,Criterion Collection,,https://boxd.it/xceUu,

Position,Name,Year,URL,Description
1,Seven Samurai,1954,https://boxd.it/2axi,
2,The Lady Vanishes,1938,https://boxd.it/29ea,
3,Amarcord,1973,https://boxd.it/20NA,
4,The 400 Blows,1959,https://boxd.it/2b1C,
5,Beauty and the Beast,1946,https://boxd.it/29UA,
6,A Night to Remember,1958,https://boxd.it/1UXE,
7,The Killer,1989,https://boxd.it/1Vha,
8,Hard Boiled,1992,https://boxd.it/1T6a,
9,Walkabout,1971,https://boxd.it/1bsG,
10,The Seventh Seal,1957,https://boxd.it/2ahO,
11,This Is Spinal Tap,1984,https://boxd.it/1UOs,
12,The Silence of the Lambs,1991,https://boxd.it/2aHW,
13,Samurai I: Musashi Miyamoto,1954,https://boxd.it/1jfg,
14,Samurai II: Duel at Ichijoji Temple,1955,https://boxd.it/1jf6,
15,Samurai III: Duel at Ganryu Island,1956,https://boxd.it/1jeM,
16,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,
17,The Naked Kiss,1964,https://boxd.it/1uBW,
18,Shock Corridor,1963,https://boxd.it/1vGI,
19,Sid and Nancy,1986,https://boxd.it/1N6e,
20,Dead Ringers,1988,https://boxd.it/1Yqk,
21,Summertime,1955,https://boxd.it/DPw,
22,RoboCop,1987,https://boxd.it/22Wu,
23,High and Low,1963,https://boxd.it/1RSc,
24,Alphaville,1965,https://boxd.it/20AG,
25,The Long Good Friday,1980,https://boxd.it/1NlS,
26,Flesh for Frankenstein,1973,https://boxd.it/25Sg,
27,Blood for Dracula,1974,https://boxd.it/1uNe,
28,Picnic at Hanging Rock,1975,https://boxd.it/1UQe,
29,M,1931,https://boxd.it/29vq,
30,Great Expectations,1946,https://boxd.it/1OjS,
31,Oliver Twist,1948,https://boxd.it/1V0e,
