Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-19,Cronenberg,,https://boxd.it/xce1E,

Position,Name,Year,URL,Description
1,Scanners,1981,https://boxd.it/1YqE,
2,Videodrome,1983,https://boxd.it/29uC,
3,The Dead Zone,1983,https://boxd.it/1U6g,
4,The Fly,1986,https://boxd.it/1YIe,
5,Naked Lunch,1991,https://boxd.it/26ow,
6,eXistenZ,1999,https://boxd.it/27Ni,
7,Eastern Promises,2007,https://boxd.it/275q,
8,A History of Violence,2005,https://boxd.it/2bfa,
9,Cosmopolis,2012,https://boxd.it/H4O,
10,Crimes of the Future,2022,https://boxd.it/uTuY,
