Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-23,Cult Japan,,https://boxd.it/SNfmm,

Position,Name,Year,URL,Description
1,Crazy Thunder Road,1980,https://boxd.it/2Vrw,
2,964 Pinocchio,1991,https://boxd.it/EhA,
3,The Legend of the Stardust Brothers,1985,https://boxd.it/ji72,
4,Evil Dead Trap,1988,https://boxd.it/12CW,
5,Typhoon Club,1985,https://boxd.it/3Ffw,
6,Mermaid Legend,1984,https://boxd.it/5bGc,
7,Burst City,1982,https://boxd.it/12s8,
8,Horrors of Malformed Men,1969,https://boxd.it/12La,
9,Door,1988,https://boxd.it/egQY,
10,Organ,1996,https://boxd.it/2cnE,
