Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-19,Edo Japan,,https://boxd.it/xcfKg,

Position,Name,Year,URL,Description
1,Lady Snowblood,1973,https://boxd.it/26Fi,
2,Zatoichi,2003,https://boxd.it/2aMs,
3,Harakiri,1962,https://boxd.it/1NTU,
4,Ran,1985,https://boxd.it/1Tlu,
5,Throne of Blood,1957,https://boxd.it/251w,
6,The Life of Oharu,1952,https://boxd.it/UFy,
7,Sisters of the Gion,1936,https://boxd.it/2AC4,
8,Sword of the Stranger,2007,https://boxd.it/1OZE,
9,13 Assassins,2010,https://boxd.it/jqc,
10,Kwaidan,1964,https://boxd.it/1kbY,
11,Ugetsu,1953,https://boxd.it/1NyM,
12,Kuroneko,1968,https://boxd.it/12mE,
13,Yojimbo,1961,https://boxd.it/1SRY,
14,Onibaba,1964,https://boxd.it/252a,
15,The Loyal 47 Ronin,1958,https://boxd.it/7CSe,
