Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-11,Every Ray Harryhousen movie,,https://boxd.it/SwdTu,

Position,Name,Year,URL,Description
1,Mighty Joe Young,1949,https://boxd.it/13Y0,
2,"The Beast from 20,000 Fathoms",1953,https://boxd.it/1cQu,
3,It Came from Beneath the Sea,1955,https://boxd.it/1mgm,
4,Earth vs. the Flying Saucers,1956,https://boxd.it/1Htw,
5,20 Million Miles to Earth,1957,https://boxd.it/1MOY,
6,The 7th Voyage of Sinbad,1958,https://boxd.it/1M4w,
7,The 3 Worlds of Gulliver,1960,https://boxd.it/1FXa,
8,Mysterious Island,1961,https://boxd.it/1FUA,
9,Jason and the Argonauts,1963,https://boxd.it/1TCK,
10,First Men in the Moon,1964,https://boxd.it/1e4W,
11,One Million Years B.C.,1966,https://boxd.it/2596,
12,The Valley of Gwangi,1969,https://boxd.it/Xae,
13,The Golden Voyage of Sinbad,1973,https://boxd.it/1HTY,
14,Sinbad and the Eye of the Tiger,1977,https://boxd.it/1SIC,
15,Clash of the Titans,1981,https://boxd.it/1WxI,
