Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-08,Films I should have seen by now,,https://boxd.it/Kxkyo,

Position,Name,Year,URL,Description
1,Brokeback Mountain,2005,https://boxd.it/2b2q,
2,Call Me by Your Name,2017,https://boxd.it/dYmm,
3,Phantom Thread,2017,https://boxd.it/e4uc,
4,The Departed,2006,https://boxd.it/28MA,
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
6,Chinatown,1974,https://boxd.it/29vU,
7,Moonrise Kingdom,2012,https://boxd.it/2Wng,
8,Isle of Dogs,2018,https://boxd.it/dZrW,
9,Eastern Promises,2007,https://boxd.it/275q,
10,The Lobster,2015,https://boxd.it/7tnw,
11,The Abyss,1989,https://boxd.it/26mK,
12,Scanners,1981,https://boxd.it/1YqE,
13,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,https://boxd.it/1TZk,
14,Smile,2022,https://boxd.it/xjfE,
15,Billy Elliot,2000,https://boxd.it/2bdy,
16,Death Proof,2007,https://boxd.it/27GG,
17,Planet Terror,2007,https://boxd.it/27Gw,
