Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-08,Films worth a rewatch ,,https://boxd.it/KxlBI,

Position,Name,Year,URL,Description
1,Pacific Rim,2013,https://boxd.it/2cB2,
2,The Raid 2,2014,https://boxd.it/5uz0,
3,The Batman,2022,https://boxd.it/eDGs,
4,A Simple Plan,1998,https://boxd.it/1WMo,
5,The Hours,2002,https://boxd.it/2a3s,
6,Contact,1997,https://boxd.it/29OM,
7,The Goonies,1985,https://boxd.it/1YVC,
8,Speed,1994,https://boxd.it/28qk,
9,Shin Godzilla,2016,https://boxd.it/a9lm,
10,Now You See Me,2013,https://boxd.it/2Bsu,
11,Ghost in the Shell,1995,https://boxd.it/1YYc,
12,Speed Racer,2008,https://boxd.it/20UQ,
13,Badlands,1973,https://boxd.it/25Fm,
14,The Exorcist,1973,https://boxd.it/1Yoo,
15,Flatliners,1990,https://boxd.it/28D4,
16,The Cell,2000,https://boxd.it/1ZLS,
