Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-19,Godzilla,,https://boxd.it/xcdCa,

Position,Name,Year,URL,Description
1,Godzilla,1954,https://boxd.it/28kc,
2,Godzilla Raids Again,1955,https://boxd.it/28k2,
3,King Kong vs. Godzilla,1963,https://boxd.it/pCh4,
4,King Kong vs. Godzilla,1962,https://boxd.it/28jS,
5,Mothra vs. Godzilla,1964,https://boxd.it/28jy,
6,"Ghidorah, the Three-Headed Monster",1964,https://boxd.it/1Lze,
7,Invasion of Astro-Monster,1965,https://boxd.it/1EXe,
8,"Ebirah, Horror of the Deep",1966,https://boxd.it/25Hs,
9,Son of Godzilla,1967,https://boxd.it/1GAQ,
10,Destroy All Monsters,1968,https://boxd.it/25IK,
11,All Monsters Attack,1969,https://boxd.it/13Co,
12,Godzilla vs. Hedorah,1971,https://boxd.it/13C4,
13,Godzilla vs. Gigan,1972,https://boxd.it/1FgU,
14,Godzilla vs. Megalon,1973,https://boxd.it/145U,
15,Godzilla vs. Mechagodzilla,1974,https://boxd.it/15Gs,
16,Terror of Mechagodzilla,1975,https://boxd.it/1Fhe,
17,Shin Godzilla,2016,https://boxd.it/a9lm,
18,Godzilla Minus One,2023,https://boxd.it/zu4c,
19,Godzilla,2014,https://boxd.it/47OE,
20,Kong: Skull Island,2017,https://boxd.it/9ewM,
21,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,
22,Godzilla vs. Kong,2021,https://boxd.it/e0qK,
23,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,
24,Bringing Godzilla Down to Size: The Art of Japanese Special Effects,2008,https://boxd.it/84Tu,
