Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-18,Korean Cinema,,https://boxd.it/RPxyA,

Position,Name,Year,URL,Description
1,A Bittersweet Life,2005,https://boxd.it/1U4Y,
2,The Wailing,2016,https://boxd.it/9fLy,
3,Lady Vengeance,2005,https://boxd.it/248G,
4,Save the Green Planet!,2003,https://boxd.it/1Uco,
5,No Other Choice,2025,https://boxd.it/nKiA,
6,Burning,2018,https://boxd.it/hHUa,
7,The Yellow Sea,2010,https://boxd.it/2j6q,
8,Hope,2026,https://boxd.it/E3vU,
9,Decision to Leave,2022,https://boxd.it/qp9e,
10,Thirst,2009,https://boxd.it/1Aqq,
11,"I'm a Cyborg, But That's OK",2006,https://boxd.it/2328,
