Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-09-21,My Favourite Films,,https://boxd.it/yUTGg,

Position,Name,Year,URL,Description
1,Memento,2000,https://boxd.it/2bcK,
2,Fight Club,1999,https://boxd.it/2a9q,
3,The Silence of the Lambs,1991,https://boxd.it/2aHW,
4,Se7en,1995,https://boxd.it/29zs,
5,Mulholland Drive,2001,https://boxd.it/297o,
6,Return of the Jedi,1983,https://boxd.it/27Vm,
7,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
8,Blade Runner,1982,https://boxd.it/2bcA,
9,Alien,1979,https://boxd.it/2awY,
10,Reservoir Dogs,1992,https://boxd.it/2agc,
11,Magnolia,1999,https://boxd.it/2aze,
12,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
13,Hellraiser,1987,https://boxd.it/1Zpi,
14,Face/Off,1997,https://boxd.it/29I0,
15,Dredd,2012,https://boxd.it/GZE,
