Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-08-07,SCAVENGERS REIGN,,https://boxd.it/xHlUy,

Position,Name,Year,URL,Description
1,Solaris,1972,https://boxd.it/2a2Y,
2,Fantastic Planet,1973,https://boxd.it/1KnQ,
3,A Boy and His Dog,1975,https://boxd.it/23FO,
4,Sorcerer,1977,https://boxd.it/14J6,
5,Alien,1979,https://boxd.it/2awY,
6,Heavy Metal,1981,https://boxd.it/1SZI,
7,Time Masters,1982,https://boxd.it/1Atu,
8,The Keep,1983,https://boxd.it/1umW,
9,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
10,Gandahar,1987,https://boxd.it/1AtE,
11,Dragon's Heaven,1988,https://boxd.it/5aMe,
12,The Abyss,1989,https://boxd.it/26mK,
13,The Last of the Mohicans,1992,https://boxd.it/1YSo,
14,Jurassic Park,1993,https://boxd.it/2aA2,
15,The Jungle Book,1994,https://boxd.it/1Vzy,
16,Princess Mononoke,1997,https://boxd.it/2b4w,
17,Pitch Black,2000,https://boxd.it/26iS,
18,28 Days Later,2002,https://boxd.it/2aXU,
19,Solaris,2002,https://boxd.it/27qS,
20,Arzak Rhapsody,2003,https://boxd.it/MFM6,
21,The Revenant,2015,https://boxd.it/8H5e,
22,Manchester by the Sea,2016,https://boxd.it/b2L0,
23,The Red Turtle,2016,https://boxd.it/bdkE,
24,Scavengers,2016,https://boxd.it/fmFu,
25,Mars Express,2023,https://boxd.it/lATC,
