Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-19,Studio Ghibli,,https://boxd.it/xcf9a,

Position,Name,Year,URL,Description
1,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
2,Castle in the Sky,1986,https://boxd.it/1W4G,
3,Grave of the Fireflies,1988,https://boxd.it/1RUM,
4,My Neighbor Totoro,1988,https://boxd.it/20eA,
5,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
6,Only Yesterday,1991,https://boxd.it/1MR4,
7,Porco Rosso,1992,https://boxd.it/1Tp2,
8,Ocean Waves,1993,https://boxd.it/1CtQ,
9,Pom Poko,1994,https://boxd.it/1Mvi,
10,Whisper of the Heart,1995,https://boxd.it/17uy,
11,Princess Mononoke,1997,https://boxd.it/2b4w,
12,My Neighbors the Yamadas,1999,https://boxd.it/1KC2,
13,Spirited Away,2001,https://boxd.it/2b4m,
14,The Cat Returns,2002,https://boxd.it/1Mne,
15,Howl's Moving Castle,2004,https://boxd.it/23De,
16,Tales from Earthsea,2006,https://boxd.it/17ae,
17,Ponyo,2008,https://boxd.it/1S0A,
18,The Secret World of Arrietty,2010,https://boxd.it/AF4,
19,From Up on Poppy Hill,2011,https://boxd.it/2VCa,
20,The Wind Rises,2013,https://boxd.it/4JQS,
21,The Tale of The Princess Kaguya,2013,https://boxd.it/4JQI,
22,When Marnie Was There,2014,https://boxd.it/78pm,
23,The Red Turtle,2016,https://boxd.it/bdkE,
24,Earwig and the Witch,2020,https://boxd.it/pu34,
25,The Boy and the Heron,2023,https://boxd.it/ipeM,
