Date,Name,Year,Letterboxd URI
2024-06-15,Love Lies Bleeding,2024,https://boxd.it/zN4q
2024-06-15,Sid and Nancy,1986,https://boxd.it/1N6e
2024-06-16,Triangle of Sadness,2022,https://boxd.it/hXlq
2024-06-27,Last Stop Larrimah: Murder Down Under,2023,https://boxd.it/EAsO
2024-06-27,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
2024-06-27,Lady Bird,2017,https://boxd.it/dGNE
2024-07-19,Summertime,1955,https://boxd.it/DPw
2024-07-19,Seven Samurai,1954,https://boxd.it/2axi
2024-07-19,The Lady Vanishes,1938,https://boxd.it/29ea
2024-07-19,Amarcord,1973,https://boxd.it/20NA
2024-07-19,The 400 Blows,1959,https://boxd.it/2b1C
2024-07-19,Beauty and the Beast,1946,https://boxd.it/29UA
2024-07-19,The Seventh Seal,1957,https://boxd.it/2ahO
2024-07-19,Walkabout,1971,https://boxd.it/1bsG
2024-07-19,Hard Boiled,1992,https://boxd.it/1T6a
2024-07-19,The Killer,1989,https://boxd.it/1Vha
2024-07-19,A Night to Remember,1958,https://boxd.it/1UXE
2024-07-19,This Is Spinal Tap,1984,https://boxd.it/1UOs
2024-07-19,The Silence of the Lambs,1991,https://boxd.it/2aHW
2024-07-19,Samurai I: Musashi Miyamoto,1954,https://boxd.it/1jfg
2024-07-19,Samurai II: Duel at Ichijoji Temple,1955,https://boxd.it/1jf6
2024-07-19,Samurai III: Duel at Ganryu Island,1956,https://boxd.it/1jeM
2024-07-19,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s
2024-07-19,The Naked Kiss,1964,https://boxd.it/1uBW
2024-07-19,Shock Corridor,1963,https://boxd.it/1vGI
2024-07-19,Dead Ringers,1988,https://boxd.it/1Yqk
2024-07-19,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6
2024-07-19,Castle in the Sky,1986,https://boxd.it/1W4G
2024-07-19,Longlegs,2024,https://boxd.it/KzLM
2024-07-20,Grave of the Fireflies,1988,https://boxd.it/1RUM
2024-07-21,I Saw the TV Glow,2024,https://boxd.it/woVe
2024-07-22,Bottoms,2023,https://boxd.it/uGf2
2024-07-22,Poor Things,2023,https://boxd.it/tNWU
2024-07-22,Battlestar Galactica: Razor,2007,https://boxd.it/2hqI
2024-07-22,The Zone of Interest,2023,https://boxd.it/gJsA
2024-07-22,Groundhog Day,1993,https://boxd.it/2b3e
2024-07-22,Heathers,1989,https://boxd.it/26x4
2024-07-22,Dune,2021,https://boxd.it/fA7G
2024-07-22,Evil Dead Rise,2023,https://boxd.it/qIvo
2024-07-22,Spaceman,2024,https://boxd.it/nC20
2024-07-22,Dumb Money,2023,https://boxd.it/tNdU
2024-07-22,Dune: Part Two,2024,https://boxd.it/pUfA
2024-07-22,Past Lives,2023,https://boxd.it/oNB8
2024-07-22,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-07-22,Road House,2024,https://boxd.it/cdzQ
2024-07-22,Civil War,2024,https://boxd.it/z1jW
2024-07-22,Late Night with the Devil,2023,https://boxd.it/zo6G
2024-07-22,The Lighthouse,2019,https://boxd.it/icFU
2024-07-22,Unfrosted,2024,https://boxd.it/vPY8
2024-07-22,Bullet Train,2022,https://boxd.it/qW26
2024-07-22,Pig,2021,https://boxd.it/nzoW
2024-07-22,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2024-07-22,Battlestar Galactica: The Plan,2009,https://boxd.it/3ziu
2024-07-22,Godzilla Minus One,2023,https://boxd.it/zu4c
2024-07-22,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk
2024-07-23,RoboCop,1987,https://boxd.it/22Wu
2024-07-23,Beetlejuice,1988,https://boxd.it/24QI
