Date,Name,Year,Letterboxd URI
2024-07-19,Cosmopolis,2012,https://boxd.it/H4O
2024-07-19,Stop Making Sense,1984,https://boxd.it/1ygo
2024-07-19,The Dead Zone,1983,https://boxd.it/1U6g
2024-07-19,Scanners,1981,https://boxd.it/1YqE
2024-07-19,Sudden Death,1995,https://boxd.it/1ZbA
2024-07-19,Naked Lunch,1991,https://boxd.it/26ow
2024-07-19,Eastern Promises,2007,https://boxd.it/275q
2024-07-19,Strange Days,1995,https://boxd.it/2aGO
2024-07-19,Call Me by Your Name,2017,https://boxd.it/dYmm
2024-07-19,Columbus,2017,https://boxd.it/eCuA
2024-07-19,After Yang,2021,https://boxd.it/lx5a
2024-07-19,Beastie Boys Story,2020,https://boxd.it/oIW6
2024-07-19,David Byrne's American Utopia,2020,https://boxd.it/oUAG
2024-07-19,La Chimera,2023,https://boxd.it/vzVi
2024-07-19,Brian and Charles,2022,https://boxd.it/yoOQ
2024-07-19,The Bikeriders,2023,https://boxd.it/C6Ym
2024-07-19,Thelma,2024,https://boxd.it/DOou
2024-07-19,2046,2004,https://boxd.it/29tu
2024-07-19,The Lobster,2015,https://boxd.it/7tnw
2024-07-19,Another Round,2020,https://boxd.it/lkba
2024-07-19,Drive My Car,2021,https://boxd.it/sv94
2024-07-19,Problemista,2023,https://boxd.it/waGO
2024-07-19,Cuckoo,2024,https://boxd.it/wMjI
2024-07-19,The Beast,2023,https://boxd.it/yqmk
2024-07-19,Ghostbusters: Frozen Empire,2024,https://boxd.it/AxYu
2024-07-19,"LaRoy, Texas",2023,https://boxd.it/BRJQ
2024-07-19,The Sweet East,2023,https://boxd.it/CcHw
2024-07-19,The Last Stop in Yuma County,2023,https://boxd.it/DCVQ
2024-07-19,American Fiction,2023,https://boxd.it/DYHm
2024-07-19,Evil Does Not Exist,2023,https://boxd.it/HJrc
2024-07-19,Enter the Dragon,1973,https://boxd.it/1YCA
2024-07-19,Life,2017,https://boxd.it/dRqG
2024-07-19,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2024-07-19,Born Strong,2017,https://boxd.it/hwdO
2024-07-19,Promising Young Woman,2020,https://boxd.it/loRE
2024-07-19,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a
2024-07-19,Mad God,2021,https://boxd.it/vVPm
2024-07-19,Reptile,2023,https://boxd.it/wKjc
